s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 9.50162E+001, 2.85304E+001, 3.02306E+001, 2.50000E+001, 2.50000E+001, 2.50550E+001, 2.74247E+001, 2.86042E+001, 1.79969E-002, 2.05140E-001, 4.56597E+002
 9.60050E+001, 2.81283E+001, 3.05676E+001, 2.50000E+001, 2.50000E+001, 2.50593E+001, 2.76371E+001, 2.87153E+001, 1.80040E-002, 2.05123E-001, 4.56840E+002
 9.70141E+001, 2.79714E+001, 3.04069E+001, 2.50000E+001, 2.50000E+001, 2.50602E+001, 2.78309E+001, 2.85841E+001, 1.80018E-002, 2.05098E-001, 4.57226E+002
 9.80029E+001, 2.74320E+001, 3.05058E+001, 2.50000E+001, 2.50000E+001, 2.50613E+001, 2.79535E+001, 2.89993E+001, 1.79972E-002, 2.05087E-001, 4.57824E+002
 9.90119E+001, 2.87926E+001, 3.03099E+001, 2.50000E+001, 2.50000E+001, 2.50649E+001, 2.76856E+001, 2.89679E+001, 1.79931E-002, 2.05062E-001, 4.58529E+002
 1.00001E+002, 2.76747E+001, 3.03030E+001, 2.50000E+001, 2.50000E+001, 2.50684E+001, 2.71017E+001, 2.87934E+001, 1.80051E-002, 2.05003E-001, 4.59224E+002
 1.01010E+002, 2.85481E+001, 3.03639E+001, 2.50000E+001, 2.50000E+001, 2.50685E+001, 2.66942E+001, 2.86292E+001, 1.79952E-002, 2.04967E-001, 4.59629E+002
 1.02019E+002, 2.74845E+001, 3.05388E+001, 2.50000E+001, 2.50000E+001, 2.50663E+001, 2.68998E+001, 2.85411E+001, 1.80025E-002, 2.04929E-001, 4.59782E+002
 1.03014E+002, 2.83247E+001, 3.05029E+001, 2.50000E+001, 2.50000E+001, 2.50647E+001, 2.68813E+001, 2.86467E+001, 1.80007E-002, 2.04901E-001, 4.59820E+002
 1.04015E+002, 2.77322E+001, 3.05761E+001, 2.50000E+001, 2.50000E+001, 2.50645E+001, 2.65905E+001, 2.85426E+001, 1.80040E-002, 2.04897E-001, 4.60014E+002
 1.05015E+002, 2.82369E+001, 3.05324E+001, 2.50000E+001, 2.50000E+001, 2.50621E+001, 2.65425E+001, 2.81129E+001, 1.80012E-002, 2.04884E-001, 4.60243E+002
 1.06016E+002, 2.82327E+001, 3.04946E+001, 2.50000E+001, 2.50000E+001, 2.50594E+001, 2.73725E+001, 2.85074E+001, 1.80053E-002, 2.04887E-001, 4.60508E+002
 1.07016E+002, 2.79461E+001, 3.04447E+001, 2.50000E+001, 2.50000E+001, 2.50583E+001, 2.79643E+001, 2.87214E+001, 1.80012E-002, 2.04846E-001, 4.61013E+002
 1.08016E+002, 2.80454E+001, 3.03292E+001, 2.50000E+001, 2.50000E+001, 2.50590E+001, 2.77116E+001, 2.86756E+001, 1.79983E-002, 2.04776E-001, 4.61451E+002
 1.09017E+002, 2.76926E+001, 3.04096E+001, 2.50000E+001, 2.50000E+001, 2.50597E+001, 2.76467E+001, 2.88861E+001, 1.79992E-002, 2.04758E-001, 4.61885E+002
 1.10017E+002, 2.74831E+001, 3.02716E+001, 2.50000E+001, 2.50000E+001, 2.50618E+001, 2.78619E+001, 2.90799E+001, 1.79972E-002, 2.04769E-001, 4.62306E+002
 1.11018E+002, 2.74201E+001, 3.04850E+001, 2.50000E+001, 2.50000E+001, 2.50617E+001, 2.75077E+001, 2.90149E+001, 1.80073E-002, 2.04757E-001, 4.62697E+002
 1.12018E+002, 2.75732E+001, 3.02660E+001, 2.50000E+001, 2.50000E+001, 2.50559E+001, 2.68065E+001, 2.87222E+001, 1.79994E-002, 2.04727E-001, 4.63249E+002
 1.13018E+002, 2.75063E+001, 3.04574E+001, 2.50000E+001, 2.50000E+001, 2.50547E+001, 2.68075E+001, 2.86922E+001, 1.79983E-002, 2.04728E-001, 4.63970E+002
 1.14019E+002, 2.76263E+001, 3.05733E+001, 2.50000E+001, 2.50000E+001, 2.50552E+001, 2.71624E+001, 2.85259E+001, 1.80048E-002, 2.04709E-001, 4.64983E+002
 1.15019E+002, 2.82907E+001, 3.11479E+001, 2.50000E+001, 2.50000E+001, 2.50548E+001, 2.70732E+001, 2.81838E+001, 1.80028E-002, 2.04686E-001, 4.66011E+002
 1.16000E+002, 2.85531E+001, 3.20288E+001, 2.50000E+001, 2.50000E+001, 2.50535E+001, 2.72983E+001, 2.80265E+001, 1.79983E-002, 2.04680E-001, 4.66811E+002
 1.17000E+002, 2.82497E+001, 3.06267E+001, 2.50000E+001, 2.50000E+001, 2.50505E+001, 2.77821E+001, 2.83966E+001, 1.80043E-002, 2.04670E-001, 4.67343E+002
 1.18001E+002, 2.80645E+001, 3.07375E+001, 2.50000E+001, 2.50000E+001, 2.50481E+001, 2.79067E+001, 2.86053E+001, 1.79974E-002, 2.04633E-001, 4.67451E+002
 1.19001E+002, 2.78742E+001, 3.02696E+001, 2.50000E+001, 2.50000E+001, 2.50466E+001, 2.73692E+001, 2.87250E+001, 1.79994E-002, 2.04611E-001, 4.67525E+002
 1.20002E+002, 2.76896E+001, 2.98370E+001, 2.50000E+001, 2.50000E+001, 2.50451E+001, 2.67802E+001, 2.88347E+001, 1.79967E-002, 2.04593E-001, 4.67633E+002
 1.21002E+002, 2.73633E+001, 2.95214E+001, 2.50000E+001, 2.50000E+001, 2.50430E+001, 2.67953E+001, 2.89127E+001, 1.80042E-002, 2.04567E-001, 4.67941E+002
 1.22003E+002, 2.74568E+001, 2.96626E+001, 2.50000E+001, 2.50000E+001, 2.50434E+001, 2.71386E+001, 2.87103E+001, 1.80022E-002, 2.04539E-001, 4.68611E+002
