s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 6.50127E+001, 2.66446E+001, 2.84536E+001, 4.09689E+001, 3.03422E+001, 2.50441E+001, 2.57765E+001, 2.71302E+001, 1.80000E-002, 2.05684E-001, 3.26719E+002
 6.60056E+001, 2.66173E+001, 2.84031E+001, 4.08189E+001, 3.01912E+001, 2.50459E+001, 2.63783E+001, 2.71898E+001, 1.79998E-002, 2.05630E-001, 3.27789E+002
 6.70120E+001, 2.65526E+001, 2.84286E+001, 4.08967E+001, 3.00876E+001, 2.50478E+001, 2.70572E+001, 2.74836E+001, 1.80005E-002, 2.05577E-001, 3.28930E+002
 6.80049E+001, 2.67385E+001, 2.84666E+001, 4.09338E+001, 3.00058E+001, 2.50493E+001, 2.64958E+001, 2.73898E+001, 1.79991E-002, 2.05545E-001, 3.30155E+002
 6.90114E+001, 2.67670E+001, 2.84781E+001, 4.08288E+001, 3.04270E+001, 2.50500E+001, 2.54237E+001, 2.71408E+001, 1.80012E-002, 2.05542E-001, 3.31424E+002
 7.00043E+001, 2.67548E+001, 2.85880E+001, 4.08827E+001, 3.04167E+001, 2.50502E+001, 2.52103E+001, 2.70250E+001, 1.79995E-002, 2.05505E-001, 3.32654E+002
 7.10108E+001, 2.66798E+001, 2.86317E+001, 4.12588E+001, 3.00867E+001, 2.50491E+001, 2.52481E+001, 2.71425E+001, 1.80012E-002, 2.05465E-001, 3.33988E+002
 7.20037E+001, 2.66122E+001, 2.85675E+001, 4.12747E+001, 3.02328E+001, 2.50467E+001, 2.53886E+001, 2.75141E+001, 1.80009E-002, 2.05474E-001, 3.35322E+002
 7.30101E+001, 2.63347E+001, 2.85017E+001, 4.10342E+001, 3.04373E+001, 2.50447E+001, 2.54878E+001, 2.78361E+001, 1.80013E-002, 2.05481E-001, 3.36550E+002
 7.40030E+001, 2.61589E+001, 2.83742E+001, 4.05240E+001, 3.01326E+001, 2.50429E+001, 2.56058E+001, 2.75055E+001, 1.80033E-002, 2.05490E-001, 3.37553E+002
 7.50122E+001, 2.61084E+001, 2.83076E+001, 3.96480E+001, 3.02827E+001, 2.50414E+001, 2.57409E+001, 2.75266E+001, 1.79938E-002, 2.05469E-001, 3.38542E+002
