s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PARAFFIN,MLR_PRODUCTS,MLR_TRACER,ZONE_1
 3.09001E+002, 1.79951E-002, 0.00000E+000,-4.62965E-003, 4.32616E-008,-1.33642E-002,-6.35907E-021, 5.69437E-005, 0.00000E+000, 5.84553E-005, 5.82380E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.76356E+002
 3.10003E+002, 1.79951E-002, 0.00000E+000,-4.62948E-003, 2.85204E-008,-1.33703E-002,-6.35888E-021, 5.45783E-005, 0.00000E+000, 4.99484E-005, 4.99312E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.76727E+002
 3.11004E+002, 1.79952E-002, 0.00000E+000,-4.62934E-003, 1.52008E-008,-1.33535E-002,-6.35872E-021, 6.13414E-005, 0.00000E+000, 7.36872E-005, 7.36744E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.77144E+002
 3.12001E+002, 1.79953E-002, 0.00000E+000,-4.62951E-003, 1.18900E-008,-1.33327E-002,-6.35860E-021, 6.95722E-005, 0.00000E+000, 1.02616E-004, 1.02687E-004, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.77615E+002
 3.13002E+002, 1.79952E-002, 0.00000E+000,-4.62958E-003, 8.02870E-009,-1.33178E-002,-6.35852E-021, 7.54614E-005, 0.00000E+000, 1.23519E-004, 1.23343E-004, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.78128E+002
 3.14004E+002, 1.79952E-002, 0.00000E+000,-4.62978E-003,-8.58707E-009,-1.33232E-002,-6.35846E-021, 7.32227E-005, 0.00000E+000, 1.15622E-004, 1.15449E-004, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.78626E+002
 3.15000E+002, 1.79953E-002, 0.00000E+000,-4.63012E-003, 2.83788E-008,-1.33440E-002,-6.35843E-021, 6.48594E-005, 0.00000E+000, 8.63508E-005, 8.60452E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.79065E+002
 3.16002E+002, 1.79952E-002, 0.00000E+000,-4.63012E-003, 1.48446E-008,-1.33585E-002,-6.35839E-021, 5.90471E-005, 0.00000E+000, 6.56980E-005, 6.56315E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.79467E+002
 3.17003E+002, 1.79952E-002, 0.00000E+000,-4.63006E-003, 3.74469E-008,-1.33585E-002,-6.35837E-021, 5.90293E-005, 0.00000E+000, 6.55271E-005, 6.56596E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.79868E+002
 3.18005E+002, 1.79952E-002, 0.00000E+000,-4.63009E-003, 8.34445E-009,-1.33461E-002,-6.35837E-021, 6.39593E-005, 0.00000E+000, 8.28219E-005, 8.29494E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.80303E+002
