s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T1_gas,T2,T2_gas,T3,T3_gas,T5,T5_gas,T9,T9_gas,T10,T10_gas,T11,T11_gas,HRR,O2_room,p_box
 3.90054E+001, 2.58304E+001, 2.53864E+001, 2.63325E+001, 2.71080E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.51639E+001, 2.50913E+001, 2.59243E+001, 2.67060E+001, 2.52970E+001, 2.60019E+001, 1.79993E-002, 2.06544E-001, 2.60602E+002
 4.00092E+001, 2.58584E+001, 2.54400E+001, 2.64608E+001, 2.78604E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.51545E+001, 2.50761E+001, 2.59854E+001, 2.64762E+001, 2.53561E+001, 2.59692E+001, 1.80004E-002, 2.06552E-001, 2.66811E+002
 4.10103E+001, 2.58953E+001, 2.56001E+001, 2.66349E+001, 2.81080E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.51452E+001, 2.50706E+001, 2.60123E+001, 2.61770E+001, 2.54185E+001, 2.61234E+001, 1.80032E-002, 2.06495E-001, 2.72497E+002
 4.20111E+001, 2.59483E+001, 2.57585E+001, 2.68025E+001, 2.84054E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.51366E+001, 2.50684E+001, 2.60043E+001, 2.58838E+001, 2.54630E+001, 2.56529E+001, 1.79995E-002, 2.06421E-001, 2.77569E+002
 4.30111E+001, 2.60096E+001, 2.58516E+001, 2.69794E+001, 2.82102E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.51289E+001, 2.50672E+001, 2.59980E+001, 2.62631E+001, 2.54650E+001, 2.54920E+001, 1.80019E-002, 2.06364E-001, 2.82092E+002
 4.40138E+001, 2.60716E+001, 2.58795E+001, 2.71007E+001, 2.81625E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.51218E+001, 2.50653E+001, 2.60383E+001, 2.65417E+001, 2.54711E+001, 2.56162E+001, 1.79994E-002, 2.06319E-001, 2.85907E+002
 4.50026E+001, 2.61288E+001, 2.59129E+001, 2.72093E+001, 2.81569E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.51153E+001, 2.50627E+001, 2.60814E+001, 2.66171E+001, 2.54788E+001, 2.55439E+001, 1.79995E-002, 2.06262E-001, 2.89369E+002
 4.60053E+001, 2.61833E+001, 2.59373E+001, 2.73161E+001, 2.83380E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.51093E+001, 2.50609E+001, 2.61441E+001, 2.67911E+001, 2.54822E+001, 2.56034E+001, 1.79994E-002, 2.06183E-001, 2.92579E+002
 4.70080E+001, 2.62317E+001, 2.58970E+001, 2.74191E+001, 2.82905E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.51037E+001, 2.50595E+001, 2.62068E+001, 2.67718E+001, 2.55058E+001, 2.60109E+001, 1.80002E-002, 2.06132E-001, 2.95459E+002
 4.80107E+001, 2.62701E+001, 2.58385E+001, 2.74964E+001, 2.81065E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50986E+001, 2.50582E+001, 2.62460E+001, 2.65067E+001, 2.55705E+001, 2.65227E+001, 1.80005E-002, 2.06141E-001, 2.98084E+002
 4.90135E+001, 2.62981E+001, 2.57833E+001, 2.75509E+001, 2.80282E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50939E+001, 2.50561E+001, 2.62375E+001, 2.59850E+001, 2.56629E+001, 2.66354E+001, 1.80004E-002, 2.06146E-001, 3.00555E+002
 5.00022E+001, 2.63164E+001, 2.57268E+001, 2.75941E+001, 2.79805E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50895E+001, 2.50547E+001, 2.61851E+001, 2.56803E+001, 2.57287E+001, 2.61694E+001, 1.80000E-002, 2.06117E-001, 3.02848E+002
 5.10050E+001, 2.63246E+001, 2.56948E+001, 2.76232E+001, 2.79163E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50856E+001, 2.50543E+001, 2.61499E+001, 2.62963E+001, 2.57282E+001, 2.55201E+001, 1.80001E-002, 2.06026E-001, 3.04948E+002
 5.20077E+001, 2.63272E+001, 2.56948E+001, 2.76438E+001, 2.78377E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50820E+001, 2.50544E+001, 2.62066E+001, 2.69571E+001, 2.57123E+001, 2.57179E+001, 1.79996E-002, 2.05965E-001, 3.06955E+002
 5.30104E+001, 2.63301E+001, 2.57154E+001, 2.76516E+001, 2.77713E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50789E+001, 2.50549E+001, 2.62886E+001, 2.69396E+001, 2.56985E+001, 2.55309E+001, 1.79997E-002, 2.05973E-001, 3.08887E+002
 5.40131E+001, 2.63344E+001, 2.57346E+001, 2.76576E+001, 2.77857E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50763E+001, 2.50579E+001, 2.63583E+001, 2.69155E+001, 2.56830E+001, 2.56762E+001, 1.80000E-002, 2.05972E-001, 3.10809E+002
 5.50019E+001, 2.63395E+001, 2.57423E+001, 2.76770E+001, 2.80153E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50742E+001, 2.50565E+001, 2.63918E+001, 2.67134E+001, 2.56901E+001, 2.58521E+001, 1.80000E-002, 2.05902E-001, 3.12713E+002
 5.60046E+001, 2.63439E+001, 2.57324E+001, 2.77086E+001, 2.80520E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50719E+001, 2.50509E+001, 2.64434E+001, 2.69494E+001, 2.56944E+001, 2.57254E+001, 1.80002E-002, 2.05861E-001, 3.14591E+002
 5.70073E+001, 2.63471E+001, 2.57277E+001, 2.77341E+001, 2.79840E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50694E+001, 2.50483E+001, 2.64665E+001, 2.65215E+001, 2.56943E+001, 2.57883E+001, 1.79996E-002, 2.05875E-001, 3.16461E+002
 5.80101E+001, 2.63497E+001, 2.57211E+001, 2.77543E+001, 2.79953E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50669E+001, 2.50463E+001, 2.64335E+001, 2.59519E+001, 2.57067E+001, 2.59134E+001, 1.80005E-002, 2.05895E-001, 3.18357E+002
 5.90128E+001, 2.63525E+001, 2.57291E+001, 2.77690E+001, 2.79573E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50646E+001, 2.50441E+001, 2.63490E+001, 2.56240E+001, 2.57246E+001, 2.60026E+001, 1.79999E-002, 2.05879E-001, 3.20131E+002
 6.00016E+001, 2.63551E+001, 2.57276E+001, 2.77817E+001, 2.79792E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50623E+001, 2.50423E+001, 2.62641E+001, 2.55933E+001, 2.57600E+001, 2.62795E+001, 1.80001E-002, 2.05827E-001, 3.21765E+002
 6.10043E+001, 2.63569E+001, 2.57153E+001, 2.78023E+001, 2.80971E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50601E+001, 2.50406E+001, 2.62044E+001, 2.59715E+001, 2.57933E+001, 2.60330E+001, 1.80003E-002, 2.05749E-001, 3.23266E+002
 6.20070E+001, 2.63573E+001, 2.57069E+001, 2.78246E+001, 2.80602E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50580E+001, 2.50399E+001, 2.62110E+001, 2.67467E+001, 2.58162E+001, 2.61312E+001, 1.80002E-002, 2.05688E-001, 3.24622E+002
