s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 7.20051E+001, 2.52945E+001, 2.62908E+001, 4.30807E+001, 2.72064E+001, 2.50199E+001, 2.50817E+001, 2.64122E+001, 1.80000E-002, 2.05662E-001, 1.98125E+002
 7.30021E+001, 2.52955E+001, 2.63351E+001, 4.23664E+001, 2.75460E+001, 2.50196E+001, 2.51137E+001, 2.64033E+001, 1.80002E-002, 2.05654E-001, 1.98626E+002
 7.40058E+001, 2.52974E+001, 2.63552E+001, 4.25921E+001, 2.76808E+001, 2.50193E+001, 2.51229E+001, 2.60376E+001, 1.80002E-002, 2.05654E-001, 1.99343E+002
 7.50028E+001, 2.52994E+001, 2.63629E+001, 4.23393E+001, 2.75079E+001, 2.50192E+001, 2.51225E+001, 2.62243E+001, 1.80004E-002, 2.05661E-001, 2.00042E+002
 7.60064E+001, 2.53020E+001, 2.63614E+001, 4.17892E+001, 2.76040E+001, 2.50190E+001, 2.51394E+001, 2.62913E+001, 1.80000E-002, 2.05662E-001, 2.00748E+002
 7.70034E+001, 2.53051E+001, 2.63695E+001, 4.10649E+001, 2.74690E+001, 2.50190E+001, 2.51303E+001, 2.60153E+001, 1.80002E-002, 2.05651E-001, 2.01518E+002
 7.80005E+001, 2.53087E+001, 2.63894E+001, 4.12736E+001, 2.73350E+001, 2.50190E+001, 2.51294E+001, 2.62615E+001, 1.80000E-002, 2.05626E-001, 2.02270E+002
 7.90041E+001, 2.53128E+001, 2.63968E+001, 4.17439E+001, 2.75314E+001, 2.50190E+001, 2.52229E+001, 2.63802E+001, 1.80002E-002, 2.05593E-001, 2.03042E+002
 8.00051E+001, 2.53172E+001, 2.63914E+001, 4.13660E+001, 2.76118E+001, 2.50191E+001, 2.56596E+001, 2.62457E+001, 1.79954E-002, 2.05541E-001, 2.03781E+002
 8.10068E+001, 2.53222E+001, 2.63874E+001, 4.19791E+001, 2.72363E+001, 2.50190E+001, 2.57526E+001, 2.64831E+001, 1.79988E-002, 2.05468E-001, 2.04486E+002
 8.20011E+001, 2.53275E+001, 2.64046E+001, 4.22056E+001, 2.73353E+001, 2.50188E+001, 2.52934E+001, 2.65356E+001, 1.80007E-002, 2.05376E-001, 2.05189E+002
 8.30028E+001, 2.53333E+001, 2.64208E+001, 4.13161E+001, 2.72979E+001, 2.50186E+001, 2.51089E+001, 2.65191E+001, 1.79999E-002, 2.05284E-001, 2.05989E+002
 8.40045E+001, 2.53393E+001, 2.64298E+001, 4.04981E+001, 2.75339E+001, 2.50185E+001, 2.50893E+001, 2.62182E+001, 1.80006E-002, 2.05248E-001, 2.06832E+002
 8.50061E+001, 2.53450E+001, 2.64379E+001, 4.04131E+001, 2.75352E+001, 2.50187E+001, 2.51083E+001, 2.62993E+001, 1.80003E-002, 2.05248E-001, 2.07762E+002
 8.60005E+001, 2.53496E+001, 2.64234E+001, 4.00967E+001, 2.75568E+001, 2.50188E+001, 2.51515E+001, 2.65189E+001, 1.80003E-002, 2.05243E-001, 2.08582E+002
 8.70022E+001, 2.53521E+001, 2.63989E+001, 4.04728E+001, 2.71319E+001, 2.50189E+001, 2.51751E+001, 2.65398E+001, 1.80002E-002, 2.05239E-001, 2.09419E+002
 8.80009E+001, 2.53525E+001, 2.63969E+001, 3.98922E+001, 2.69439E+001, 2.50189E+001, 2.51416E+001, 2.65781E+001, 1.80021E-002, 2.05236E-001, 2.10220E+002
 8.90011E+001, 2.53516E+001, 2.63863E+001, 4.02030E+001, 2.72234E+001, 2.50188E+001, 2.50945E+001, 2.64303E+001, 1.80005E-002, 2.05231E-001, 2.11010E+002
 9.00013E+001, 2.53505E+001, 2.63917E+001, 4.14171E+001, 2.75029E+001, 2.50187E+001, 2.51052E+001, 2.64759E+001, 1.79998E-002, 2.05235E-001, 2.11754E+002
 9.10016E+001, 2.53509E+001, 2.64122E+001, 4.18884E+001, 2.72689E+001, 2.50187E+001, 2.51887E+001, 2.62213E+001, 1.79971E-002, 2.05249E-001, 2.12396E+002
 9.20018E+001, 2.53523E+001, 2.64310E+001, 4.32961E+001, 2.74228E+001, 2.50187E+001, 2.52489E+001, 2.62141E+001, 1.79987E-002, 2.05257E-001, 2.13025E+002
 9.30020E+001, 2.53533E+001, 2.64528E+001, 4.29823E+001, 2.77106E+001, 2.50187E+001, 2.52021E+001, 2.64379E+001, 1.80007E-002, 2.05248E-001, 2.13644E+002
 9.40022E+001, 2.53538E+001, 2.64526E+001, 4.26580E+001, 2.79985E+001, 2.50186E+001, 2.51513E+001, 2.64154E+001, 1.80019E-002, 2.05227E-001, 2.14271E+002
 9.50024E+001, 2.53538E+001, 2.64368E+001, 4.24234E+001, 2.80341E+001, 2.50185E+001, 2.51372E+001, 2.63132E+001, 1.80019E-002, 2.05213E-001, 2.14877E+002
 9.60026E+001, 2.53541E+001, 2.64487E+001, 4.21626E+001, 2.75210E+001, 2.50184E+001, 2.51214E+001, 2.65026E+001, 1.80003E-002, 2.05214E-001, 2.15441E+002
 9.70028E+001, 2.53558E+001, 2.64910E+001, 4.06416E+001, 2.80790E+001, 2.50183E+001, 2.51301E+001, 2.66112E+001, 1.79995E-002, 2.05208E-001, 2.16092E+002
 9.80031E+001, 2.53586E+001, 2.65134E+001, 4.05953E+001, 2.80842E+001, 2.50183E+001, 2.51707E+001, 2.64950E+001, 1.79989E-002, 2.05180E-001, 2.16760E+002
 9.90033E+001, 2.53619E+001, 2.65059E+001, 4.15829E+001, 2.72279E+001, 2.50183E+001, 2.51508E+001, 2.63863E+001, 1.79977E-002, 2.05144E-001, 2.17375E+002
