s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 6.10039E+001, 2.51687E+001, 2.57276E+001, 3.97013E+001, 2.74618E+001, 2.50148E+001, 2.50637E+001, 2.53708E+001, 1.80015E-002, 2.06431E-001, 1.25631E+002
 6.20006E+001, 2.51722E+001, 2.57427E+001, 3.95050E+001, 2.74989E+001, 2.50142E+001, 2.50539E+001, 2.53775E+001, 1.80057E-002, 2.06380E-001, 1.26150E+002
 6.30013E+001, 2.51749E+001, 2.57554E+001, 3.80085E+001, 2.75272E+001, 2.50137E+001, 2.50485E+001, 2.53998E+001, 1.80015E-002, 2.06324E-001, 1.26616E+002
 6.40020E+001, 2.51775E+001, 2.57521E+001, 3.77873E+001, 2.75307E+001, 2.50134E+001, 2.50460E+001, 2.54300E+001, 1.80016E-002, 2.06263E-001, 1.27077E+002
 6.50027E+001, 2.51804E+001, 2.57353E+001, 3.76225E+001, 2.73724E+001, 2.50132E+001, 2.50459E+001, 2.54651E+001, 1.80015E-002, 2.06203E-001, 1.27575E+002
 6.60034E+001, 2.51838E+001, 2.57164E+001, 3.74925E+001, 2.71748E+001, 2.50131E+001, 2.50482E+001, 2.54914E+001, 1.80015E-002, 2.06146E-001, 1.28122E+002
 6.70002E+001, 2.51879E+001, 2.57042E+001, 3.74072E+001, 2.71887E+001, 2.50131E+001, 2.50526E+001, 2.54663E+001, 1.80015E-002, 2.06098E-001, 1.28711E+002
 6.80009E+001, 2.51927E+001, 2.57010E+001, 3.73299E+001, 2.71333E+001, 2.50132E+001, 2.50578E+001, 2.54318E+001, 1.80014E-002, 2.06060E-001, 1.29325E+002
 6.90015E+001, 2.51977E+001, 2.57044E+001, 3.72639E+001, 2.70885E+001, 2.50132E+001, 2.50621E+001, 2.54368E+001, 1.80014E-002, 2.06030E-001, 1.29950E+002
 7.00022E+001, 2.52028E+001, 2.57107E+001, 3.71730E+001, 2.70408E+001, 2.50131E+001, 2.50645E+001, 2.54320E+001, 1.80015E-002, 2.06008E-001, 1.30579E+002
 7.10029E+001, 2.52076E+001, 2.57183E+001, 3.70635E+001, 2.69909E+001, 2.50131E+001, 2.50657E+001, 2.54108E+001, 1.80014E-002, 2.05993E-001, 1.31205E+002
 7.20036E+001, 2.52122E+001, 2.57259E+001, 3.69640E+001, 2.69475E+001, 2.50130E+001, 2.50659E+001, 2.53946E+001, 1.80013E-002, 2.05982E-001, 1.31829E+002
 7.30004E+001, 2.52163E+001, 2.57336E+001, 3.68719E+001, 2.69038E+001, 2.50130E+001, 2.50636E+001, 2.53915E+001, 1.80014E-002, 2.05973E-001, 1.32445E+002
 7.40011E+001, 2.52202E+001, 2.57416E+001, 3.67683E+001, 2.68735E+001, 2.50129E+001, 2.50582E+001, 2.53961E+001, 1.80013E-002, 2.05963E-001, 1.33050E+002
 7.50017E+001, 2.52238E+001, 2.57500E+001, 3.66446E+001, 2.68668E+001, 2.50127E+001, 2.50514E+001, 2.53962E+001, 1.80014E-002, 2.05950E-001, 1.33644E+002
 7.60024E+001, 2.52271E+001, 2.57581E+001, 3.65108E+001, 2.68670E+001, 2.50126E+001, 2.50466E+001, 2.53994E+001, 1.80013E-002, 2.05933E-001, 1.34222E+002
 7.70031E+001, 2.52302E+001, 2.57655E+001, 3.63718E+001, 2.68632E+001, 2.50125E+001, 2.50451E+001, 2.54038E+001, 1.80014E-002, 2.05912E-001, 1.34787E+002
 7.80038E+001, 2.52330E+001, 2.57720E+001, 3.62230E+001, 2.68568E+001, 2.50124E+001, 2.50472E+001, 2.54210E+001, 1.80014E-002, 2.05887E-001, 1.35342E+002
